"";"data_type";"year";"month";"data_from";"species";"lclass";"frequence"
"1";"Artisanal Landings";2020;3;"Abidjan";"PSS";13;1
"2";"Artisanal Landings";2020;3;"Abidjan";"PSS";14;1
"3";"Artisanal Landings";2020;3;"Abidjan";"PSS";15;3
"4";"Artisanal Landings";2020;3;"Abidjan";"PSS";16;2
"5";"Artisanal Landings";2020;3;"Abidjan";"PSS";17;5
"6";"Artisanal Landings";2020;3;"Abidjan";"PSS";18;9
"7";"Artisanal Landings";2020;3;"Abidjan";"PSS";19;3
"8";"Artisanal Landings";2020;3;"Abidjan";"PSS";20;8
"9";"Artisanal Landings";2020;3;"Abidjan";"PSS";21;6
"10";"Artisanal Landings";2020;3;"Abidjan";"PSS";22;1
"11";"Artisanal Landings";2020;3;"Abidjan";"PSS";23;1
"12";"Artisanal Landings";2020;3;"Abidjan";"PSS";24;5
"13";"Artisanal Landings";2020;3;"Abidjan";"PSS";25;5
"14";"Artisanal Landings";2020;3;"Abidjan";"PSS";26;7
"15";"Artisanal Landings";2020;3;"Abidjan";"PSS";27;12
"16";"Artisanal Landings";2020;3;"Abidjan";"PSS";28;5
"17";"Artisanal Landings";2020;3;"Abidjan";"PSS";29;2
"18";"Artisanal Landings";2020;3;"Abidjan";"PSS";30;1
"19";"Artisanal Landings";2020;3;"Abidjan";"PSS";31;2
"20";"Artisanal Landings";2020;3;"Abidjan";"PSS";32;0
"21";"Artisanal Landings";2020;3;"Abidjan";"PSS";33;0
"22";"Artisanal Landings";2020;3;"Abidjan";"PSS";34;1
"23";"Artisanal Landings";2020;5;"Abidjan";"PSS";14;2
"24";"Artisanal Landings";2020;5;"Abidjan";"PSS";15;1
"25";"Artisanal Landings";2020;5;"Abidjan";"PSS";16;5
"26";"Artisanal Landings";2020;5;"Abidjan";"PSS";17;2
"27";"Artisanal Landings";2020;5;"Abidjan";"PSS";18;7
"28";"Artisanal Landings";2020;5;"Abidjan";"PSS";19;4
"29";"Artisanal Landings";2020;5;"Abidjan";"PSS";20;4
"30";"Artisanal Landings";2020;5;"Abidjan";"PSS";21;4
"31";"Artisanal Landings";2020;5;"Abidjan";"PSS";22;4
"32";"Artisanal Landings";2020;5;"Abidjan";"PSS";23;5
"33";"Artisanal Landings";2020;5;"Abidjan";"PSS";24;0
"34";"Artisanal Landings";2020;5;"Abidjan";"PSS";25;1
"35";"Artisanal Landings";2020;5;"Abidjan";"PSS";26;4
"36";"Artisanal Landings";2020;5;"Abidjan";"PSS";27;12
"37";"Artisanal Landings";2020;5;"Abidjan";"PSS";28;7
"38";"Artisanal Landings";2020;5;"Abidjan";"PSS";29;3
"39";"Artisanal Landings";2020;5;"Abidjan";"PSS";30;2
"40";"Artisanal Landings";2020;5;"Abidjan";"PSS";31;1
"41";"Artisanal Landings";2020;6;"Abidjan";"PSS";14;1
"42";"Artisanal Landings";2020;6;"Abidjan";"PSS";15;0
"43";"Artisanal Landings";2020;6;"Abidjan";"PSS";16;0
"44";"Artisanal Landings";2020;6;"Abidjan";"PSS";17;6
"45";"Artisanal Landings";2020;6;"Abidjan";"PSS";18;5
"46";"Artisanal Landings";2020;6;"Abidjan";"PSS";19;5
"47";"Artisanal Landings";2020;6;"Abidjan";"PSS";20;6
"48";"Artisanal Landings";2020;6;"Abidjan";"PSS";21;3
"49";"Artisanal Landings";2020;6;"Abidjan";"PSS";22;2
"50";"Artisanal Landings";2020;6;"Abidjan";"PSS";23;6
"51";"Artisanal Landings";2020;6;"Abidjan";"PSS";24;4
"52";"Artisanal Landings";2020;6;"Abidjan";"PSS";25;7
"53";"Artisanal Landings";2020;6;"Abidjan";"PSS";26;8
